-a	-M/REM
-r-or-sàn-i	-PFV-2SG-3PL-PRES
-r-os-màn-i	-PFV-3SG-1PL-PRES
-r-os-ràn-i	-PFV-3SG-2PL-PRES
-r-os-sàn-i	-PFV-3SG-3PL-PRES
-r-ēn-màn-i	-PFV-1PL-1PL-PRES
-r-ēn-ràn-i	-PFV-1PL-2PL-PRES
-r-ēn-sàn-i	-PFV-1PL-3PL-PRES
-r-ēs-màn-i	-PFV-2PL-1PL-PRES
-r-ēs-ràn-i	-PFV-2PL-2PL-PRES
-r-ēs-sàn-i	-PFV-2PL-3PL-PRES
-r-ed-màn-i	-PFV-3PL-1PL-PRES
-r-ed-ràn-i	-PFV-3PL-2PL-PRES
-r-ed-sàn-i	-PFV-3PL-3PL-PRES
-r-om-r-à	-PFV-1SG-2SG-REM
-r-om-s-à	-PFV-1SG-3SG-REM
-r-or-m-à	-PFV-2SG-1SG-REM
-r-or-s-à	-PFV-2SG-3SG-REM
-r-os-m-à	-PFV-3SG-1SG-REM
-r-os-r-à	-PFV-3SG-2SG-REM
-r-os-s-à	-PFV-3SG-3SG-REM
-r-ēn-m-à	-PFV-1PL-1SG-REM
-r-ēn-r-à	-PFV-1PL-2SG-REM
-r-ēn-s-à	-PFV-1PL-3SG-REM
-r-ēs-m-à	-PFV-2PL-1SG-REM
-r-ēs-r-à	-PFV-2PL-2SG-REM
-r-ēs-s-à	-PFV-2PL-3SG-REM
-r-ed-m-à	-PFV-3PL-1SG-REM
-r-ed-r-à	-PFV-3PL-2SG-REM
-r-ed-s-à	-PFV-3PL-3SG-REM
-r-om-màn-à	-PFV-1SG-1PL-REM
-r-om-ràn-à	-PFV-1SG-2PL-REM
-r-om-sàn-à	-PFV-1SG-3PL-REM
-r-or-màn-à	-PFV-2SG-1PL-REM
-r-or-ràn-à	-PFV-2SG-1PL-REM
-r-or-sàn-à	-PFV-2SG-3PL-REM
-r-os-màn-à	-PFV-3SG-1PL-REM
-r-os-ràn-à	-PFV-3SG-2PL-REM
-r-os-sàn-à	-PFV-3SG-3PL-REM
-r-ēn-màn-à	-PFV-1PL-1PL-REM
-r-ēn-ràn-à	-PFV-1PL-2PL-REM
-r-ēn-sàn-à	-PFV-1PL-3PL-REM
-r-ēs-màn-à	-PFV-2PL-1PL-REM
-r-ēs-ràn-à	-PFV-2PL-2PL-REM
-r-ēs-sàn-à	-PFV-2PL-3PL-REM
-r-ed-màn-à	-PFV-3PL-1PL-REM
-r-ed-ràn-à	-PFV-3PL-2PL-REM
-r-ed-sàn-à	-PFV-3PL-3PL-REM
-ir-à	-PFV-3SG.M
-ir-om-à	-PFV-1SG-REM
-ir-or-à	-PFV-2SG-REM
-ir-ēy-à	-PFV-3SG.M-REM
-ir-īy-à	-PFV-3SG.F-REM
-ir-ēn-à	-PFV-1PL-REM
-ir-ēs-à	-PFV-2PL-REM
-ir-ēd-à	-PFV-3PL-REM
-ir-om-màn	-PFV-1SG-1PL
-ir-om-ràn	-PFV-1SG-2PL
-ir-om-sàn	-PFV-1SG-3PL
-ir-or-màn	-PFV-2SG-1PL
-ir-or-ràn	-PFV-2SG-1PL
-ir-or-sàn	-PFV-2SG-3PL
-ir-os-màn	-PFV-3SG-1PL
-ir-os-ràn	-PFV-3SG-2PL
-ir-os-sàn	-PFV-3SG-3PL
-ir-ēn-màn	-PFV-1PL-1PL
-ir-ēn-ràn	-PFV-1PL-2PL
-ir-ēn-sàn	-PFV-1PL-3PL
-ir-ēs-màn	-PFV-2PL-1PL
-ir-ēs-ràn	-PFV-2PL-2PL
-ir-ēs-sàn	-PFV-2PL-3PL
-ir-ed-màn	-PFV-3PL-1PL
-ir-ed-ràn	-PFV-3PL-2PL
-ir-ed-sàn	-PFV-3PL-3PL
-ir-om-màn-i	-PFV-1SG-1PL-PRES
-ir-om-ràn-i	-PFV-1SG-2PL-PRES
-ir-om-sàn-i	-PFV-1SG-3PL-PRES
-ir-or-màn-i	-PFV-2SG-1PL-PRES
-ir-or-ràn-i	-PFV-2SG-1PL-PRES
-ir-or-sàn-i	-PFV-2SG-3PL-PRES
-ir-os-màn-i	-PFV-3SG-1PL-PRES
-ir-os-ràn-i	-PFV-3SG-2PL-PRES
-ir-os-sàn-i	-PFV-3SG-3PL-PRES
-ir-ēn-màn-i	-PFV-1PL-1PL-PRES
-ir-ēn-ràn-i	-PFV-1PL-2PL-PRES
-ir-ēn-sàn-i	-PFV-1PL-3PL-PRES
-ir-ēs-màn-i	-PFV-2PL-1PL-PRES
-ir-ēs-ràn-i	-PFV-2PL-2PL-PRES
-ir-ēs-sàn-i	-PFV-2PL-3PL-PRES
-ir-ed-màn-i	-PFV-3PL-1PL-PRES
-ir-ed-ràn-i	-PFV-3PL-2PL-PRES
-ir-ed-sàn-i	-PFV-3PL-3PL-PRES
-ir-om-r-à	-PFV-1SG-2SG-REM
-ir-om-s-à	-PFV-1SG-3SG-REM
-ir-or-m-à	-PFV-2SG-1SG-REM
-ir-or-s-à	-PFV-2SG-3SG-REM
-ir-os-m-à	-PFV-3SG-1SG-REM
-ir-os-r-à	-PFV-3SG-2SG-REM
-ir-os-s-à	-PFV-3SG-3SG-REM
-ir-ēn-m-à	-PFV-1PL-1SG-REM
-ir-ēn-r-à	-PFV-1PL-2SG-REM
-ir-ēn-s-à	-PFV-1PL-3SG-REM
-ir-ēs-m-à	-PFV-2PL-1SG-REM
-ir-ēs-r-à	-PFV-2PL-2SG-REM
-ir-ēs-s-à	-PFV-2PL-3SG-REM
-ir-ed-m-à	-PFV-3PL-1SG-REM
-ir-ed-r-à	-PFV-3PL-2SG-REM
-ir-ed-s-à	-PFV-3PL-3SG-REM
-ir-om-màn-à	-PFV-1SG-1PL-REM
-ir-om-ràn-à	-PFV-1SG-2PL-REM
-ir-om-sàn-à	-PFV-1SG-3PL-REM
-ir-or-màn-à	-PFV-2SG-1PL-REM
-ir-or-ràn-à	-PFV-2SG-1PL-REM
-ir-or-sàn-à	-PFV-2SG-3PL-REM
-ir-os-màn-à	-PFV-3SG-1PL-REM
-ir-os-ràn-à	-PFV-3SG-2PL-REM
-ir-os-sàn-à	-PFV-3SG-3PL-REM
-ir-ēn-màn-à	-PFV-1PL-1PL-REM
-ir-ēn-ràn-à	-PFV-1PL-2PL-REM
-ir-ēn-sàn-à	-PFV-1PL-3PL-REM
-ir-ēs-màn-à	-PFV-2PL-1PL-REM
-ir-ēs-ràn-à	-PFV-2PL-2PL-REM
-ir-ēs-sàn-à	-PFV-2PL-3PL-REM
-ir-ed-màn-à	-PFV-3PL-1PL-REM
-ir-ed-ràn-à	-PFV-3PL-2PL-REM
-ir-ed-sàn-à	-PFV-3PL-3PL-REM
-ī-r-à	-VITR-PFV-3SG.M
-ī-r-om-à	-VITR-PFV-1SG-REM
-ī-r-or-à	-VITR-PFV-2SG-REM
-ī-r-ēy-à	-VITR-PFV-3SG.M-REM
-ī-r-īy-à	-VITR-PFV-3SG.F-REM
-ī-r-ēn-à	-VITR-PFV-1PL-REM
-ī-r-ēs-à	-VITR-PFV-2PL-REM
-ī-r-ēd-à	-VITR-PFV-3PL-REM
t-à	give.PFV-3SG.M
t-om-à	give.PFV-1SG-REM
t-or-à	give.PFV-2SG-REM
t-ēy-à	give.PFV-3SG.M-REM
t-īy-à	give.PFV-3SG.F-REM
t-ēn-à	give.PFV-1PL-REM
t-ēs-à	give.PFV-2PL-REM
t-ed-à	give.PFV-3PL-REM
t-om-màn	give.PFV-1SG-1PL
t-om-ràn	give.PFV-1SG-2PL
t-om-sàn	give.PFV-1SG-3PL
t-or-màn	give.PFV-2SG-1PL
t-or-ràn	give.PFV-2SG-1PL
t-or-sàn	give.PFV-2SG-3PL
t-os-màn	give.PFV-3SG-1PL
t-os-ràn	give.PFV-3SG-2PL
t-os-sàn	give.PFV-3SG-3PL
t-ēn-màn	give.PFV-1PL-1PL
t-ēn-ràn	give.PFV-1PL-2PL
t-ēn-sàn	give.PFV-1PL-3PL
t-ēs-màn	give.PFV-2PL-1PL
t-ēs-ràn	give.PFV-2PL-2PL
t-ēs-sàn	give.PFV-2PL-3PL
t-ed-màn	give.PFV-3PL-1PL
t-ed-ràn	give.PFV-3PL-2PL
t-ed-sàn	give.PFV-3PL-3PL
t-om-màn-i	give.PFV-1SG-1PL-PRES
t-om-ràn-i	give.PFV-1SG-2PL-PRES
t-om-sàn-i	give.PFV-1SG-3PL-PRES
t-or-màn-i	give.PFV-2SG-1PL-PRES
t-or-ràn-i	give.PFV-2SG-1PL-PRES
t-or-sàn-i	give.PFV-2SG-3PL-PRES
t-os-màn-i	give.PFV-3SG-1PL-PRES
t-os-ràn-i	give.PFV-3SG-2PL-PRES
t-os-sàn-i	give.PFV-3SG-3PL-PRES
t-ēn-màn-i	give.PFV-1PL-1PL-PRES
t-ēn-ràn-i	give.PFV-1PL-2PL-PRES
t-ēn-sàn-i	give.PFV-1PL-3PL-PRES
t-ēs-màn-i	give.PFV-2PL-1PL-PRES
t-ēs-ràn-i	give.PFV-2PL-2PL-PRES
t-ēs-sàn-i	give.PFV-2PL-3PL-PRES
t-ed-màn-i	give.PFV-3PL-1PL-PRES
t-ed-ràn-i	give.PFV-3PL-2PL-PRES
t-ed-sàn-i	give.PFV-3PL-3PL-PRES
t-om-r-à	give.PFV-1SG-2SG-REM
t-om-s-à	give.PFV-1SG-3SG-REM
t-or-m-à	give.PFV-2SG-1SG-REM
t-or-s-à	give.PFV-2SG-3SG-REM
t-os-m-à	give.PFV-3SG-1SG-REM
t-os-r-à	give.PFV-3SG-2SG-REM
t-os-s-à	give.PFV-3SG-3SG-REM
t-ēn-m-à	give.PFV-1PL-1SG-REM
t-ēn-r-à	give.PFV-1PL-2SG-REM
t-ēn-s-à	give.PFV-1PL-3SG-REM
t-ēs-m-à	give.PFV-2PL-1SG-REM
t-ēs-r-à	give.PFV-2PL-2SG-REM
t-ēs-s-à	give.PFV-2PL-3SG-REM
t-ed-m-à	give.PFV-3PL-1SG-REM
t-ed-r-à	give.PFV-3PL-2SG-REM
t-ed-s-à	give.PFV-3PL-3SG-REM
t-om-màn-à	give.PFV-1SG-1PL-REM
t-om-ràn-à	give.PFV-1SG-2PL-REM
t-om-sàn-à	give.PFV-1SG-3PL-REM
t-or-màn-à	give.PFV-2SG-1PL-REM
t-or-ràn-à	give.PFV-2SG-1PL-REM
t-or-sàn-à	give.PFV-2SG-3PL-REM
t-os-màn-à	give.PFV-3SG-1PL-REM
t-os-ràn-à	give.PFV-3SG-2PL-REM
t-os-sàn-à	give.PFV-3SG-3PL-REM
t-ēn-màn-à	give.PFV-1PL-1PL-REM
t-ēn-ràn-à	give.PFV-1PL-2PL-REM
t-ēn-sàn-à	give.PFV-1PL-3PL-REM
t-ēs-màn-à	give.PFV-2PL-1PL-REM
t-ēs-ràn-à	give.PFV-2PL-2PL-REM
t-ēs-sàn-à	give.PFV-2PL-3PL-REM
t-ed-màn-à	give.PFV-3PL-1PL-REM
t-ed-ràn-à	give.PFV-3PL-2PL-REM
t-ed-sàn-à	give.PFV-3PL-3PL-REM
ē-r-à	come-PFV-3SG.M
ē-r-om-à	come-PFV-1SG-REM
ē-r-or-à	come-PFV-2SG-REM
ē-r-ēy-à	come-PFV-3SG.M-REM
ē-r-īy-à	come-PFV-3SG.F-REM
ē-r-ēn-à	come-PFV-1PL-REM
ē-r-ēs-à	come-PFV-2PL-REM
ē-r-ed-à	come-PFV-3PL-REM
ē-r-om-màn	come-PFV-1SG-1PL
ē-r-om-ràn	come-PFV-1SG-2PL
ē-r-om-sàn	come-PFV-1SG-3PL
ē-r-or-màn	come-PFV-2SG-1PL
ē-r-or-ràn	come-PFV-2SG-1PL
ē-r-or-sàn	come-PFV-2SG-3PL
ē-r-os-màn	come-PFV-3SG-1PL
ē-r-os-ràn	come-PFV-3SG-2PL
ē-r-os-sàn	come-PFV-3SG-3PL
ē-r-ēn-màn	come-PFV-1PL-1PL
ē-r-ēn-ràn	come-PFV-1PL-2PL
ē-r-ēn-sàn	come-PFV-1PL-3PL
ē-r-ēs-màn	come-PFV-2PL-1PL
ē-r-ēs-ràn	come-PFV-2PL-2PL
ē-r-ēs-sàn	come-PFV-2PL-3PL
ē-r-ed-màn	come-PFV-3PL-1PL
ē-r-ed-ràn	come-PFV-3PL-2PL
ē-r-ed-sàn	come-PFV-3PL-3PL
ē-r-om-màn-i	come-PFV-1SG-1PL-PRES
ē-r-om-ràn-i	come-PFV-1SG-2PL-PRES
ē-r-om-sàn-i	come-PFV-1SG-3PL-PRES
ē-r-or-màn-i	come-PFV-2SG-1PL-PRES
ē-r-or-ràn-i	come-PFV-2SG-1PL-PRES
ē-r-or-sàn-i	come-PFV-2SG-3PL-PRES
ē-r-os-màn-i	come-PFV-3SG-1PL-PRES
ē-r-os-ràn-i	come-PFV-3SG-2PL-PRES
ē-r-os-sàn-i	come-PFV-3SG-3PL-PRES
ē-r-ēn-màn-i	come-PFV-1PL-1PL-PRES
ē-r-ēn-ràn-i	come-PFV-1PL-2PL-PRES
ē-r-ēn-sàn-i	come-PFV-1PL-3PL-PRES
ē-r-ēs-màn-i	come-PFV-2PL-1PL-PRES
ē-r-ēs-ràn-i	come-PFV-2PL-2PL-PRES
ē-r-ēs-sàn-i	come-PFV-2PL-3PL-PRES
ē-r-ed-màn-i	come-PFV-3PL-1PL-PRES
ē-r-ed-ràn-i	come-PFV-3PL-2PL-PRES
ē-r-ed-sàn-i	come-PFV-3PL-3PL-PRES
ē-r-om-r-à	come-PFV-1SG-2SG-REM
ē-r-om-s-à	come-PFV-1SG-3SG-REM
ē-r-or-m-à	come-PFV-2SG-1SG-REM
ē-r-or-s-à	come-PFV-2SG-3SG-REM
ē-r-os-m-à	come-PFV-3SG-1SG-REM
ē-r-os-r-à	come-PFV-3SG-2SG-REM
ē-r-os-s-à	come-PFV-3SG-3SG-REM
ē-r-ēn-m-à	come-PFV-1PL-1SG-REM
ē-r-ēn-r-à	come-PFV-1PL-2SG-REM
ē-r-ēn-s-à	come-PFV-1PL-3SG-REM
ē-r-ēs-m-à	come-PFV-2PL-1SG-REM
ē-r-ēs-r-à	come-PFV-2PL-2SG-REM
ē-r-ēs-s-à	come-PFV-2PL-3SG-REM
ē-r-ed-m-à	come-PFV-3PL-1SG-REM
ē-r-ed-r-à	come-PFV-3PL-2SG-REM
ē-r-ed-s-à	come-PFV-3PL-3SG-REM
ē-r-om-màn-à	come-PFV-1SG-1PL-REM
ē-r-om-ràn-à	come-PFV-1SG-2PL-REM
ē-r-om-sàn-à	come-PFV-1SG-3PL-REM
ē-r-or-màn-à	come-PFV-2SG-1PL-REM
ē-r-or-ràn-à	come-PFV-2SG-1PL-REM
ē-r-or-sàn-à	come-PFV-2SG-3PL-REM
ē-r-os-màn-à	come-PFV-3SG-1PL-REM
ē-r-os-ràn-à	come-PFV-3SG-2PL-REM
ē-r-os-sàn-à	come-PFV-3SG-3PL-REM
ē-r-ēn-màn-à	come-PFV-1PL-1PL-REM
ē-r-ēn-ràn-à	come-PFV-1PL-2PL-REM
ē-r-ēn-sàn-à	come-PFV-1PL-3PL-REM
ē-r-ēs-màn-à	come-PFV-2PL-1PL-REM
ē-r-ēs-ràn-à	come-PFV-2PL-2PL-REM
ē-r-ēs-sàn-à	come-PFV-2PL-3PL-REM
ē-r-ed-màn-à	come-PFV-3PL-1PL-REM
ē-r-ed-ràn-à	come-PFV-3PL-2PL-REM
ē-r-ed-sàn-à	come-PFV-3PL-3PL-REM
gà-r-om	go-PFV-1SG
gà-r-or	go-PFV-2SG
gà-r-à	go-PFV-3SG.M
gà-r-i	go-PFV-3SG.F
gà-r-gàn	go-PFV-1PL
gà-r-gàs	go-PFV-2PL
gà-r-e	go-PFV-3PL
gà-r-om-i	go-PFV-1SG-PRES
gà-r-or-i	go-PFV-2SG-PRES
gà-r-gàk	go-PFV-PRED.SG.M
gà-r-ik	go-PFV-PRED.SG.F
gà-r-gàn-i	go-PFV-1PL-PRES
gà-r-gàs-i	go-PFV-2PL-PRES
gà-r-gàd-i	go-PFV-3PL-PRES
gà-r-om-à	go-PFV-1SG-REM
gà-r-or-à	go-PFV-2SG-REM
gà-r-gày-à	go-PFV-3SG.M-REM
gà-r-īy-à	go-PFV-3SG.F-REM
gà-r-gàn-à	go-PFV-1PL-REM
gà-r-gàs-à	go-PFV-2PL-REM
gà-r-ed-à	go-PFV-3PL-REM
gà-r-om-ir	go-PFV-1SG-2SG
gà-r-om-is	go-PFV-1SG-3SG
gà-r-or-im	go-PFV-2SG-1SG
gà-r-or-is	go-PFV-2SG-3SG
gà-r-os-im	go-PFV-3SG-1SG
gà-r-os-ir	go-PFV-3SG-2SG
gà-r-os-is	go-PFV-3SG-3SG
gà-r-gàn-im	go-PFV-1PL-1SG
gà-r-gàn-ir	go-PFV-1PL-2SG
gà-r-gàn-is	go-PFV-1PL-3SG
gà-r-gàs-im	go-PFV-2PL-1SG
gà-r-gàs-ir	go-PFV-2PL-2SG
gà-r-gàs-is	go-PFV-2PL-3SG
gà-r-ed-im	go-PFV-3PL-1SG
gà-r-ed-ir	go-PFV-3PL-2SG
gà-r-ed-is	go-PFV-3PL-3SG
gà-r-om-màn	go-PFV-1SG-1PL
gà-r-om-ràn	go-PFV-1SG-2PL
gà-r-om-sàn	go-PFV-1SG-3PL
gà-r-or-màn	go-PFV-2SG-1PL
gà-r-or-ràn	go-PFV-2SG-1PL
gà-r-or-sàn	go-PFV-2SG-3PL
gà-r-os-màn	go-PFV-3SG-1PL
gà-r-os-ràn	go-PFV-3SG-2PL
gà-r-os-sàn	go-PFV-3SG-3PL
gà-r-gàn-màn	go-PFV-1PL-1PL
gà-r-gàn-ràn	go-PFV-1PL-2PL
gà-r-gàn-sàn	go-PFV-1PL-3PL
gà-r-gàs-màn	go-PFV-2PL-1PL
gà-r-gàs-ràn	go-PFV-2PL-2PL
gà-r-gàs-sàn	go-PFV-2PL-3PL
gà-r-ed-màn	go-PFV-3PL-1PL
gà-r-ed-ràn	go-PFV-3PL-2PL
gà-r-ed-sàn	go-PFV-3PL-3PL
gà-r-om-r-i	go-PFV-1SG-2SG-PRES
gà-r-om-s-i	go-PFV-1SG-3SG-PRES
gà-r-or-m-i	go-PFV-2SG-1SG-PRES
gà-r-or-s-i	go-PFV-2SG-3SG-PRES
gà-r-os-m-i	go-PFV-3SG-1SG-PRES
gà-r-os-r-i	go-PFV-3SG-2SG-PRES
gà-r-os-s-i	go-PFV-3SG-3SG-PRES
gà-r-gàn-m-i	go-PFV-1PL-1SG-PRES
gà-r-gàn-r-i	go-PFV-1PL-2SG-PRES
gà-r-gàn-s-i	go-PFV-1PL-3SG-PRES
gà-r-gàs-m-i	go-PFV-2PL-1SG-PRES
gà-r-gàs-r-i	go-PFV-2PL-2SG-PRES
gà-r-gàs-s-i	go-PFV-2PL-3SG-PRES
gà-r-ed-m-i	go-PFV-3PL-1SG-PRES
gà-r-ed-r-i	go-PFV-3PL-2SG-PRES
gà-r-ed-s-i	go-PFV-3PL-3SG-PRES
gà-r-om-màn-i	go-PFV-1SG-1PL-PRES
gà-r-om-ràn-i	go-PFV-1SG-2PL-PRES
gà-r-om-sàn-i	go-PFV-1SG-3PL-PRES
gà-r-or-màn-i	go-PFV-2SG-1PL-PRES
gà-r-or-ràn-i	go-PFV-2SG-1PL-PRES
gà-r-or-sàn-i	go-PFV-2SG-3PL-PRES
gà-r-os-màn-i	go-PFV-3SG-1PL-PRES
gà-r-os-ràn-i	go-PFV-3SG-2PL-PRES
gà-r-os-sàn-i	go-PFV-3SG-3PL-PRES
gà-r-gàn-màn-i	go-PFV-1PL-1PL-PRES
gà-r-gàn-ràn-i	go-PFV-1PL-2PL-PRES
gà-r-gàn-sàn-i	go-PFV-1PL-3PL-PRES
gà-r-gàs-màn-i	go-PFV-2PL-1PL-PRES
gà-r-gàs-ràn-i	go-PFV-2PL-2PL-PRES
gà-r-gàs-sàn-i	go-PFV-2PL-3PL-PRES
gà-r-ed-màn-i	go-PFV-3PL-1PL-PRES
gà-r-ed-ràn-i	go-PFV-3PL-2PL-PRES
gà-r-ed-sàn-i	go-PFV-3PL-3PL-PRES
gà-r-om-r-à	go-PFV-1SG-2SG-REM
gà-r-om-s-à	go-PFV-1SG-3SG-REM
gà-r-or-m-à	go-PFV-2SG-1SG-REM
gà-r-or-s-à	go-PFV-2SG-3SG-REM
gà-r-os-m-à	go-PFV-3SG-1SG-REM
gà-r-os-r-à	go-PFV-3SG-2SG-REM
gà-r-os-s-à	go-PFV-3SG-3SG-REM
gà-r-gàn-m-à	go-PFV-1PL-1SG-REM
gà-r-gàn-r-à	go-PFV-1PL-2SG-REM
gà-r-gàn-s-à	go-PFV-1PL-3SG-REM
gà-r-gàs-m-à	go-PFV-2PL-1SG-REM
gà-r-gàs-r-à	go-PFV-2PL-2SG-REM
gà-r-gàs-s-à	go-PFV-2PL-3SG-REM
gà-r-ed-m-à	go-PFV-3PL-1SG-REM
gà-r-ed-r-à	go-PFV-3PL-2SG-REM
gà-r-ed-s-à	go-PFV-3PL-3SG-REM
gà-r-om-màn-à	go-PFV-1SG-1PL-REM
gà-r-om-ràn-à	go-PFV-1SG-2PL-REM
gà-r-om-sàn-à	go-PFV-1SG-3PL-REM
gà-r-or-màn-à	go-PFV-2SG-1PL-REM
gà-r-or-ràn-à	go-PFV-2SG-1PL-REM
gà-r-or-sàn-à	go-PFV-2SG-3PL-REM
gà-r-os-màn-à	go-PFV-3SG-1PL-REM
gà-r-os-ràn-à	go-PFV-3SG-2PL-REM
gà-r-os-sàn-à	go-PFV-3SG-3PL-REM
gà-r-gàn-màn-à	go-PFV-1PL-1PL-REM
gà-r-gàn-ràn-à	go-PFV-1PL-2PL-REM
gà-r-gàn-sàn-à	go-PFV-1PL-3PL-REM
gà-r-gàs-màn-à	go-PFV-2PL-1PL-REM
gà-r-gàs-ràn-à	go-PFV-2PL-2PL-REM
gà-r-gàs-sàn-à	go-PFV-2PL-3PL-REM
gà-r-ed-màn-à	go-PFV-3PL-1PL-REM
gà-r-ed-ràn-à	go-PFV-3PL-2PL-REM
gà-r-ed-sàn-à	go-PFV-3PL-3PL-REM
-h-r-à	-VITR-PFV-3SG.M
-h-r-om-à	-VITR-PFV-1SG-REM
-h-r-or-à	-VITR-PFV-2SG-REM
-h-r-ēy-à	-VITR-PFV-3SG.M-REM
-h-r-īy-à	-VITR-PFV-3SG.F-REM
-h-r-ēs-à	-VITR-PFV-2PL-REM
-h-r-ēd-à	-VITR-PFV-3PL-REM
kānàt	COP.3SG.F
kunnà	COP.1PL
ṣāràt	begin.3SG.F
xàllī-ni	leave/let-1SG
xàllī-k	leave/let-2SG.M
xàllī-ki	leave/let-2SG.F
xàllī-h	leave/let-3SG.M
xàllī-hā	leave/let-3SG.F
xàllī-nā	leave/let-1PL
xàllī-kum	leave/let-2PL
xàllī-hom	leave/let-3PL
bàqēt	keep.1SG/2SG.M
bàqētī	keep.2SG.F
bàqà	keep.3SG
bàqàt	keep.3SG.F
bàqēnā	keep.1PL
bàqētū	keep.2PL
bàqū	keep.3PL
ḍàllē-nī	keep-1SG
ḍàllē-ni	keep-1SG
ḍàllē-t	keep-2SG.M
ḍàllē-ttī	keep-2SG.F
ḍàll-o	keep-3SG.M
ḍàll-hā	keep-3SG.F
ḍàllēt-nà	keep-1PL
ḍàllēt-kū	keep-2PL
ḍàll-hom	keep-3PL
inn-àk	COMP-2SG.M
àb-	on	prep
àbàdàn	at.all	adv	Ar.
àbṣàr	I.wonder	part	Ar.
àbu	Abu	n	Ar.
àdžàr	rent	n	Ar.
àdžoti	today	adv
àg	fire	n
àgir	in.front.of	prep
àɣlàb	majority	n	Ar.
àɣrāḍe	things	n	Ar.
àhà	this.m	pron
àhāli	people	n	Ar.
àhàmm	most.important	adj	Ar.
àhbàl	idiot	n	Ar.
àhl	family/parents	n	Ar.
àḥlàh	beautiful	adj	Ar.
àhlàn	welcome!	part	Ar.
àḥmàr	red	adj	Ar.
àhr-	become-	v
àḥsàn	better	adj	Ar.
àkàm	few	quant	Ar.
àkbàr	bigger	adj	Ar.
àkil	food	n	Ar.
àkkīd	sure	adv	Ar.
àktàr	more	adj	Ar.
àktàriyye	majority	n	Ar.
àlf	thousand	num	Ar.
àllàh	God	n	Ar.
àlwān	colours	n	Ar.
àmà	I	pron
àmbulàns	ambulance	n	Ar.
àme	we	pron
àmmà	however	conj	Ar.
ànà	egg	n
ànḍàf	most.honest	adj	Ar.
àqwà	stronger	adj	Ar.
àràt	night	n
àràtin	at.night	adv
àrbàʕ	four	num	Ar.
àrbàʕīn	forty	num	Ar.
àrbàʕtàʕš	fourteen	num	Ar.
àrḍ	land	n	Ar.
àṣābiʕ	fingers	n	Ar.
àsàwīr	bracelet	n	Ar.
àṣḥābe	friends	n	Ar.
àškāl	types	n	Ar.
àṣl	origin	n	Ar.
àṣlàn	originally	adv	Ar.
àšràf	sincerest	adj	Ar.
àš-šām	Syria	n	Ar.
àssāshā	originally	adv	Ar.
àšti	there.is	v
àst-	there.is	v	Mac
àšt-	there.is	v	Mac
àtà	flour	n
àtāri	part	Ar.
àtnī-	about	prep
àtu	you	pron
àtun	above	adv
àw-	come-	v
àwsà	dodgy	adj
àwṣāf	features	n	Ar.
àwwàl	first/before	adj	Ar.
àxàr	below	adv
àxḍàr	green	adj	Ar.
àxlāq	morals	n	Ar.
àyy	àny	quant	Ar.
àyyām	days	n	Ar.
àʕdāʕe	enemies	n	Ar.
bàd	grandfather	n
bàdāl	instead.of	prep	Ar.
bàg-	break-	v
bàgy-	break-	v
bàgà-	break-	v
bàḥàr	lake/sea	n	Ar.
bàkàloris	baccalaureate	n	Ar.
bàkrà	lamb	n
bàlà	without	prep	Ar.
bàlàd	country	n	Ar.
bàlàdiyye	municipality	n	Ar.
bàlāṭà	floor.tile	n	Ar.
bàlɣe	sandals	n
bàlki	maybe	part	Ar.
bàlkon	balcony	n	Ar.
bàlwi	bracelet	n
bàn-	tie/shut-	v
bàndorà	tomato	n	Ar.
bànk	bank	n	Ar.
bàntàlon	trousers	n	Ar.
bàqà-	still/keep-	v aux	Ar.
bàqàrà	cow	n	Ar.
bàr	brother	n
bàrà	outside	adv
bàràri	wilderness	n
bàrdà	full	adj
bàrd-	full-	adj
bàrdo	also	part	Ar.
bàriṭāniyà	Britain	n	Ar.
bàrwe	eyebrows	n
bàsātīn	groves	n	Ar.
bàss	but/only	conj	Ar.
bàṭṭilàhr-	stop-	v	Ar.
baṭṭil-	stop-	v	Ar.
bàwusk-	kiss-	v	Ar.
bàxt	luck	n	Ar.	Kurd.
bày	wife	n
bàʕd	after	prep	Ar.
bàʕḍ	each.other	pron	Ar.
bàʕdēn	then	part	Ar.
biḥàyāti	during my life	ever	adv	Ar.
bil'àwwàl	initially	firstly	adv	Ar.
binisbà	às/for	prep	Ar.
bisàwàhr-	be.married-	v	Ar.
bisàwàk-	marry.off-	v	Ar.
bitindžàn	aubergine	n	Ar.
biyyinnà	coward	n
bkàrà	hungry	adj
bkàrà-	hungry-	adj
bnàw-	frighten-	v
bostàdži	postman	n	Ar.
bràri	cat	n
bsuṭàhr-	be.happy-	v	Ar.
btà’rīx	with.date	on	adv	Ar.
čànč-	next.to	prep
čàr-	hide-	v
čīnàk	a.little	adv
čōnà	boy	n
dà’imàn	always	adv	Ar.
dàbābà	tank	n	Ar.
dàbāyiḥ	slaughtered.animals	n	Ar.
dàbbirk-	organise/manage-	v	Ar.
dàdi	grandmother	n
dàkātre	doctors	n	Ar.
dàkkākīne	shops	n	Ar.
dànàb	tail	n	Ar.
dànānīr	dinars	n	Ar.
dàri	place	n	Kurd.
dàw-	dance	v
dàwāy	camel	n
dàwlà	country	n	Ar.
dàwrà	course	n	Ar.
dày	mother	n
